Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0402_1005Metric,145.1936,-81.0078,90,top
C2,0.1uF,C_0402_1005Metric,189.8214,-80.7538,90,top
C3,0.1uF,C_0402_1005Metric,153.16412,-76.9946,270,top
D1,LED_Small,LED_0402_1005Metric,166.103,-78.4242,90,top
D2,LED_Small,LED_0402_1005Metric,168.103,-78.4242,90,top
D3,LED_Small,LED_0402_1005Metric,170.103,-78.4242,90,top
D4,LED_Small,LED_0402_1005Metric,172.103,-78.4242,90,top
D5,LED_Small,LED_0402_1005Metric,174.103,-78.4242,90,top
D6,LED_Small,LED_0402_1005Metric,176.103,-78.4242,90,top
D7,LED_Small,LED_0402_1005Metric,178.103,-78.4242,90,top
D8,LED_Small,LED_0402_1005Metric,180.103,-78.4242,90,top
D9,LED_Small,LED_0402_1005Metric,182.103,-78.4242,90,top
D10,LED_Small,LED_0402_1005Metric,184.103,-78.4242,90,top
D11,LED_Small,LED_0402_1005Metric,186.103,-78.4242,90,top
D12,LED_Small,LED_0402_1005Metric,188.103,-78.4242,90,top
D13,LED_Small,LED_0402_1005Metric,188.103,-71.8242,270,top
D14,LED_Small,LED_0402_1005Metric,186.103,-71.8242,270,top
D15,LED_Small,LED_0402_1005Metric,184.103,-71.8242,270,top
D16,LED_Small,LED_0402_1005Metric,182.103,-71.8242,270,top
D17,LED_Small,LED_0402_1005Metric,180.103,-71.8242,270,top
D18,LED_Small,LED_0402_1005Metric,178.103,-71.8242,270,top
D19,LED_Small,LED_0402_1005Metric,176.103,-71.8242,270,top
D20,LED_Small,LED_0402_1005Metric,174.103,-71.8242,270,top
D21,LED_Small,LED_0402_1005Metric,172.102,-71.8242,270,top
D22,LED_Small,LED_0402_1005Metric,170.103,-71.8242,270,top
D23,LED_Small,LED_0402_1005Metric,168.103,-71.8242,270,top
D24,LED_Small,LED_0402_1005Metric,166.103,-71.8242,270,top
R1,470,R_0402_1005Metric,166.103,-76.1242,90,top
R2,470,R_0402_1005Metric,168.103,-76.1242,90,top
R3,470,R_0402_1005Metric,170.103,-76.1242,90,top
R4,470,R_0402_1005Metric,172.103,-76.1242,90,top
R5,470,R_0402_1005Metric,174.103,-76.1242,90,top
R6,470,R_0402_1005Metric,176.103,-76.1242,90,top
R7,470,R_0402_1005Metric,178.103,-76.1242,90,top
R8,470,R_0402_1005Metric,180.103,-76.1242,90,top
R9,470,R_0402_1005Metric,182.103,-76.1242,90,top
R10,470,R_0402_1005Metric,184.103,-76.1242,90,top
R11,470,R_0402_1005Metric,186.103,-76.1242,90,top
R12,470,R_0402_1005Metric,188.103,-76.1242,90,top
R13,470,R_0402_1005Metric,188.103,-74.1242,270,top
R14,470,R_0402_1005Metric,186.103,-74.1242,270,top
R15,470,R_0402_1005Metric,184.103,-74.1242,270,top
R16,470,R_0402_1005Metric,182.103,-74.1242,270,top
R17,470,R_0402_1005Metric,180.103,-74.1242,270,top
R18,470,R_0402_1005Metric,178.103,-74.1242,270,top
R19,470,R_0402_1005Metric,176.103,-74.1242,270,top
R20,470,R_0402_1005Metric,174.103,-74.1242,270,top
R21,470,R_0402_1005Metric,172.103,-74.1242,270,top
R22,470,R_0402_1005Metric,170.103,-74.1242,270,top
R23,470,R_0402_1005Metric,168.103,-74.1242,270,top
R24,470,R_0402_1005Metric,166.103,-74.1242,270,top
R25,4.7K,R_0402_1005Metric,150.95432,-76.9946,90,top
R26,4.7K,R_0402_1005Metric,148.85,-77,90,top
R27,10K,R_0402_1005Metric,146.74808,-77,270,top
R28,10K,R_0402_1005Metric,189.90776,-71.87396,270,top
R29,10K,R_0402_1005Metric,142.7044,-66.48916,180,top
R31,100K,R_0402_1005Metric,167.103,-76.1242,90,top
R32,100K,R_0402_1005Metric,169.103,-76.1242,90,top
R33,100K,R_0402_1005Metric,171.103,-76.1242,90,top
R34,100K,R_0402_1005Metric,173.103,-76.1242,90,top
R35,100K,R_0402_1005Metric,175.103,-76.1242,90,top
R36,100K,R_0402_1005Metric,177.103,-76.1242,90,top
R37,100K,R_0402_1005Metric,179.103,-76.1242,90,top
R38,100K,R_0402_1005Metric,181.103,-76.1242,90,top
R39,100K,R_0402_1005Metric,183.103,-76.1242,90,top
R40,100K,R_0402_1005Metric,185.103,-76.1242,90,top
R41,100K,R_0402_1005Metric,187.103,-76.1242,90,top
R42,100K,R_0402_1005Metric,189.103,-76.1242,90,top
R43,100K,R_0402_1005Metric,189.103,-74.1242,270,top
R44,100K,R_0402_1005Metric,187.103,-74.1242,270,top
R45,100K,R_0402_1005Metric,185.103,-74.1242,270,top
R46,100K,R_0402_1005Metric,183.103,-74.1242,270,top
R47,100K,R_0402_1005Metric,181.103,-74.1242,270,top
R48,100K,R_0402_1005Metric,179.103,-74.1242,270,top
R49,100K,R_0402_1005Metric,177.103,-74.1242,270,top
R50,100K,R_0402_1005Metric,175.103,-74.1242,270,top
R51,100K,R_0402_1005Metric,173.103,-74.1242,270,top
R52,100K,R_0402_1005Metric,171.103,-74.1242,270,top
R53,100K,R_0402_1005Metric,169.103,-74.1242,270,top
R54,100K,R_0402_1005Metric,167.103,-74.1242,270,top
U1,TCA6424A,UQFN-32-1EP_5x5mm_P0.5mm_EP3.15x3.15mm_ThermalVias,158.6048,-75.115,90,top
